disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time,single_stack_disorder
0,0.0,1000,0.02,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,1.5999999999999996,random,0.4842977523803711,
1,0.005555555555555556,1000,0.02,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,2.3999999999999995,random,0.46961402893066406,
0,0.0,1000,0.02,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,2.3999999999999995,random,0.46961402893066406,
1,0.005555555555555556,1000,0.02,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,2.3999999999999995,random,0.46961402893066406,
1,0.005555555555555556,1000,0.02,3,60,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.01333333333333333,2.3999999999999995,random,0.46961402893066406,
2,0.03333333333333333,1000,0.03,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,1.2,random,0.48885059356689453,
2,0.03333333333333333,1000,0.03,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,1.2,random,0.48885059356689453,
1,0.016666666666666666,1000,0.03,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,1.2,random,0.48885059356689453,
1,0.016666666666666666,1000,0.03,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,1.2,random,0.48885059356689453,
1,0.008333333333333333,1000,0.03,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,2.4,random,0.5136995315551758,
1,0.008333333333333333,1000,0.03,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,2.4,random,0.5136995315551758,
1,0.008333333333333333,1000,0.03,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,2.4,random,0.5136995315551758,
2,0.016666666666666666,1000,0.03,3,40,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02,2.4,random,0.5136995315551758,
2,0.011111111111111112,1000,0.03,3,60,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.02,3.6,random,0.5508217811584473,
0,0.0,1000,0.03,3,60,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.02,3.6,random,0.5508217811584473,
1,0.005555555555555556,1000,0.03,3,60,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.02,3.6,random,0.5508217811584473,
1,0.005555555555555556,1000,0.03,3,60,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.02,3.6,random,0.5508217811584473,
2,0.03333333333333333,1000,0.04,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02666666666666666,1.5999999999999996,random,0.45643162727355957,
1,0.016666666666666666,1000,0.04,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02666666666666666,1.5999999999999996,random,0.45643162727355957,
1,0.016666666666666666,1000,0.04,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02666666666666666,1.5999999999999996,random,0.45643162727355957,
1,0.016666666666666666,1000,0.04,3,20,1,{'random': 1},{'random': 1},27.77777777777778,9.25925925925926,0.02666666666666666,1.5999999999999996,random,0.45643162727355957,
1,0.008333333333333333,1000,0.04,3,40,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.02666666666666666,3.1999999999999993,random,0.6110363006591797,
1,0.008333333333333333,1000,0.04,3,40,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.02666666666666666,3.1999999999999993,random,0.6110363006591797,
