disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time
3,0.025,108,0.05,3,40,2,{'random': 1},{'random': 1},3.0,0.5,0.03333333333333334,4.000000000000001,random,0.13865900039672852
2,0.016666666666666666,108,0.05,3,40,2,{'random': 1},{'random': 1},3.0,0.5,0.03333333333333334,4.000000000000001,random,0.13865900039672852
2,0.016666666666666666,108,0.05,3,40,2,{'random': 1},{'random': 1},3.0,0.5,0.03333333333333334,4.000000000000001,random,0.13865900039672852
1,0.008333333333333333,162,0.05,3,40,2,{'random': 1},{'random': 1},4.5,0.75,0.03333333333333334,4.000000000000001,random,0.21140813827514648
2,0.016666666666666666,162,0.05,3,40,2,{'random': 1},{'random': 1},4.5,0.75,0.03333333333333334,4.000000000000001,random,0.21140813827514648
0,0.0,162,0.05,3,40,2,{'random': 1},{'random': 1},4.5,0.75,0.03333333333333334,4.000000000000001,random,0.21140813827514648
0,0.0,162,0.05,3,40,2,{'random': 1},{'random': 1},4.5,0.75,0.03333333333333334,4.000000000000001,random,0.21140813827514648
1,0.008333333333333333,216,0.05,3,40,2,{'random': 1},{'random': 1},6.0,1.0,0.03333333333333334,4.000000000000001,random,0.2623298168182373
2,0.016666666666666666,216,0.05,3,40,2,{'random': 1},{'random': 1},6.0,1.0,0.03333333333333334,4.000000000000001,random,0.2623298168182373
1,0.008333333333333333,216,0.05,3,40,2,{'random': 1},{'random': 1},6.0,1.0,0.03333333333333334,4.000000000000001,random,0.2623298168182373
1,0.008333333333333333,216,0.05,3,40,2,{'random': 1},{'random': 1},6.0,1.0,0.03333333333333334,4.000000000000001,random,0.2623298168182373
2,0.011111111111111112,81,0.05,3,60,3,{'random': 1},{'random': 1},2.25,0.25,0.03333333333333334,6.000000000000001,random,0.12464141845703125
3,0.016666666666666666,81,0.05,3,60,3,{'random': 1},{'random': 1},2.25,0.25,0.03333333333333334,6.000000000000001,random,0.12464141845703125
3,0.016666666666666666,81,0.05,3,60,3,{'random': 1},{'random': 1},2.25,0.25,0.03333333333333334,6.000000000000001,random,0.12464141845703125
3,0.016666666666666666,81,0.05,3,60,3,{'random': 1},{'random': 1},2.25,0.25,0.03333333333333334,6.000000000000001,random,0.12464141845703125
1,0.005555555555555556,162,0.05,3,60,3,{'random': 1},{'random': 1},4.5,0.5,0.03333333333333334,6.000000000000001,random,0.25531506538391113
2,0.011111111111111112,162,0.05,3,60,3,{'random': 1},{'random': 1},4.5,0.5,0.03333333333333334,6.000000000000001,random,0.25531506538391113
3,0.016666666666666666,162,0.05,3,60,3,{'random': 1},{'random': 1},4.5,0.5,0.03333333333333334,6.000000000000001,random,0.25531506538391113
