disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time,single_stack_disorder
2,0.011111111111111112,1000,0.05,3,60,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.03333333333333334,6.000000000000001,random,0.6243090629577637,
2,0.03333333333333333,1000,0.1,3,20,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.06666666666666668,4.000000000000001,random,0.5695381164550781,
2,0.03333333333333333,1000,0.1,3,20,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.06666666666666668,4.000000000000001,random,0.5695381164550781,
2,0.03333333333333333,1000,0.1,3,20,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.06666666666666668,4.000000000000001,random,0.5695381164550781,
1,0.016666666666666666,1000,0.1,3,20,2,{'random': 1},{'random': 1},27.77777777777778,4.62962962962963,0.06666666666666668,4.000000000000001,random,0.5695381164550781,
3,0.025,1000,0.1,3,40,4,{'random': 1},{'random': 1},27.77777777777778,2.314814814814815,0.06666666666666668,8.000000000000002,random,0.681713342666626,
2,0.016666666666666666,1000,0.1,3,40,4,{'random': 1},{'random': 1},27.77777777777778,2.314814814814815,0.06666666666666668,8.000000000000002,random,0.681713342666626,
1,0.008333333333333333,1000,0.1,3,40,4,{'random': 1},{'random': 1},27.77777777777778,2.314814814814815,0.06666666666666668,8.000000000000002,random,0.681713342666626,
2,0.016666666666666666,1000,0.1,3,40,4,{'random': 1},{'random': 1},27.77777777777778,2.314814814814815,0.06666666666666668,8.000000000000002,random,0.681713342666626,
2,0.011111111111111112,1000,0.1,3,60,6,{'random': 1},{'random': 1},27.77777777777778,1.5432098765432098,0.06666666666666668,12.000000000000002,random,0.7898585796356201,
1,0.005555555555555556,1000,0.1,3,60,6,{'random': 1},{'random': 1},27.77777777777778,1.5432098765432098,0.06666666666666668,12.000000000000002,random,0.7898585796356201,
2,0.011111111111111112,1000,0.1,3,60,6,{'random': 1},{'random': 1},27.77777777777778,1.5432098765432098,0.06666666666666668,12.000000000000002,random,0.7898585796356201,
2,0.011111111111111112,1000,0.1,3,60,6,{'random': 1},{'random': 1},27.77777777777778,1.5432098765432098,0.06666666666666668,12.000000000000002,random,0.7898585796356201,
2,0.03333333333333333,1000,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.10000000000000002,6.000000000000001,random,0.6034207344055176,
1,0.016666666666666666,1000,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.10000000000000002,6.000000000000001,random,0.6034207344055176,
2,0.03333333333333333,1000,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.10000000000000002,6.000000000000001,random,0.6034207344055176,
3,0.05,1000,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},27.77777777777778,3.0864197530864197,0.10000000000000002,6.000000000000001,random,0.6034207344055176,
4,0.03333333333333333,1000,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},27.77777777777778,1.5432098765432098,0.10000000000000002,12.000000000000002,random,0.7565360069274902,
